id;title;description;number_of_candidates;payment_amount;recruiter_income_rate;candidate_income_rate;deadline;status;created_at;opened_at;closed_at;done_at;employer_id
1;round stretcher;seemingly cayenne;19309;22980.61;7646.97;3318.31;2024-05-24;NEW;2024-05-23T19:51:11;2024-05-24T11:03:25;2024-05-24T07:04:34;2024-05-24T11:51:32;1
2;hence fairly;broadly athwart knowingly;23063;17846.67;17248.17;22910.97;2024-05-24;OPEN;2024-05-23T17:17:05;2024-05-24T09:26:54;2024-05-24T03:40:52;2024-05-24T12:52:14;2
3;hatred intrepid sheepishly;reliable shyly so;24938;19147.94;1614.81;1503.05;2024-05-24;NEW;2024-05-24T08:56:07;2024-05-23T18:13:39;2024-05-24T11:47:01;2024-05-23T18:09:48;2
4;yet past;under growling crumb;22398;18443.4;28667.44;24416.59;2024-05-24;CLOSED;2024-05-23T21:34:45;2024-05-24T10:52:06;2024-05-24T03:05:10;2024-05-24T11:14:10;1
5;as honestly so;silently yum;19410;26009.21;24361.49;9673.44;2024-05-24;CLOSED;2024-05-23T21:19:36;2024-05-24T06:57:50;2024-05-23T16:16:40;2024-05-23T19:31:43;1
6;better;easy unconscious;737;30811.61;3823.41;14515.28;2024-05-24;OPEN;2024-05-24T00:20:41;2024-05-23T18:24:46;2024-05-24T00:05:30;2024-05-24T10:11:10;2
7;nor fare console;moment;20631;31509.75;3022.24;9282.08;2024-05-23;OPEN;2024-05-23T19:00:52;2024-05-23T20:57:48;2024-05-23T21:12:45;2024-05-24T03:23:44;2
8;parched;waste;6176;4266.48;10413.87;22899.87;2024-05-24;DONE;2024-05-23T17:43:57;2024-05-23T17:20:15;2024-05-24T11:28:34;2024-05-24T07:19:54;1
9;hm down well-documented;restfully;22384;11546.36;29097.18;16613.73;2024-05-24;NEW;2024-05-23T19:41:35;2024-05-24T03:47:47;2024-05-24T00:13:24;2024-05-24T09:14:15;1
10;enunciate humble against;the;16381;10531.63;10269.29;13338.57;2024-05-24;NEW;2024-05-23T22:23:35;2024-05-24T07:37:09;2024-05-24T08:26:08;2024-05-23T19:50:19;2
