id;document;document_content_type;status;period;employer_id;mediator_id;candidate_id
1;../fake-data/blob/hipster.png;image/png;REJECTED;2024-05-24;1;1;1
2;../fake-data/blob/hipster.png;image/png;REVOKED;2024-05-23;2;2;2
3;../fake-data/blob/hipster.png;image/png;SIGNED;2024-05-23;2;1;3
4;../fake-data/blob/hipster.png;image/png;REJECTED;2024-05-24;2;1;4
5;../fake-data/blob/hipster.png;image/png;REVOKED;2024-05-23;1;2;5
6;../fake-data/blob/hipster.png;image/png;PROCESSING;2024-05-24;2;2;6
7;../fake-data/blob/hipster.png;image/png;SIGNED;2024-05-23;1;1;7
8;../fake-data/blob/hipster.png;image/png;SIGNED;2024-05-24;1;2;8
9;../fake-data/blob/hipster.png;image/png;REJECTED;2024-05-23;2;1;9
10;../fake-data/blob/hipster.png;image/png;REJECTED;2024-05-23;2;1;10
